,filesizeBigsimpleEC_ARES_1048576_10-5-5_1filesizeBigsimpleEC_ARES_1048576_10-5-5_2filesizeBigsimpleEC_ARES_1048576_10-5-5_3filesizeBigsimpleEC_ARES_1048576_10-5-5_4filesizeBigsimpleEC_ARES_1048576_10-5-5_5filesizeBigsimpleEC_ARES_1048576_10-5-5_6,filesizeBigsimpleEC_ARES_134217728_10-5-5_1filesizeBigsimpleEC_ARES_134217728_10-5-5_2filesizeBigsimpleEC_ARES_134217728_10-5-5_3filesizeBigsimpleEC_ARES_134217728_10-5-5_4filesizeBigsimpleEC_ARES_134217728_10-5-5_5filesizeBigsimpleEC_ARES_134217728_10-5-5_6,filesizeBigsimpleEC_ARES_16777216_10-5-5_1filesizeBigsimpleEC_ARES_16777216_10-5-5_2filesizeBigsimpleEC_ARES_16777216_10-5-5_3filesizeBigsimpleEC_ARES_16777216_10-5-5_4filesizeBigsimpleEC_ARES_16777216_10-5-5_5filesizeBigsimpleEC_ARES_16777216_10-5-5_6,filesizeBigsimpleEC_ARES_2097152_10-5-5_1filesizeBigsimpleEC_ARES_2097152_10-5-5_2filesizeBigsimpleEC_ARES_2097152_10-5-5_3filesizeBigsimpleEC_ARES_2097152_10-5-5_4filesizeBigsimpleEC_ARES_2097152_10-5-5_5filesizeBigsimpleEC_ARES_2097152_10-5-5_6,filesizeBigsimpleEC_ARES_33554432_10-5-5_1filesizeBigsimpleEC_ARES_33554432_10-5-5_2filesizeBigsimpleEC_ARES_33554432_10-5-5_3filesizeBigsimpleEC_ARES_33554432_10-5-5_4filesizeBigsimpleEC_ARES_33554432_10-5-5_5filesizeBigsimpleEC_ARES_33554432_10-5-5_6,filesizeBigsimpleEC_ARES_4194304_10-5-5_1filesizeBigsimpleEC_ARES_4194304_10-5-5_2filesizeBigsimpleEC_ARES_4194304_10-5-5_3filesizeBigsimpleEC_ARES_4194304_10-5-5_4filesizeBigsimpleEC_ARES_4194304_10-5-5_5filesizeBigsimpleEC_ARES_4194304_10-5-5_6,filesizeBigsimpleEC_ARES_67108864_10-5-5_1filesizeBigsimpleEC_ARES_67108864_10-5-5_2filesizeBigsimpleEC_ARES_67108864_10-5-5_3filesizeBigsimpleEC_ARES_67108864_10-5-5_4filesizeBigsimpleEC_ARES_67108864_10-5-5_5filesizeBigsimpleEC_ARES_67108864_10-5-5_6,filesizeBigsimpleEC_ARES_8388608_10-5-5_1filesizeBigsimpleEC_ARES_8388608_10-5-5_2filesizeBigsimpleEC_ARES_8388608_10-5-5_3filesizeBigsimpleEC_ARES_8388608_10-5-5_4filesizeBigsimpleEC_ARES_8388608_10-5-5_5filesizeBigsimpleEC_ARES_8388608_10-5-5_6
filesize,20.0,27.0,24.0,21.0,25.0,22.0,26.0,23.0
mean_read_operation_latency_EC,0.06665237852446404,5.342603815721748,0.621486061010005,0.09930031162054447,1.5721183520855904,0.16665220787446136,2.648859036688803,0.3102188162083015
median_read_operation_latency_EC,0.06153261190498597,4.949359668023826,0.5443976186616737,0.0885512187716525,1.4316265082917035,0.14531637781000728,2.4631643048633607,0.26678140221663094
std_read_operation_latency_EC,0.013147668672260016,0.8917544072942587,0.22604187621553945,0.026525138857635307,0.4254675583149961,0.053988746277641234,0.48220010349788267,0.11257321434225667
max_read_operation_latency_EC,0.09559456512672114,7.333724000443323,1.099074593596676,0.15784838557337935,2.4950888030134046,0.28471748300671,3.715969037050003,0.5535977861033219
min_read_operation_latency_EC,0.058421147776704554,4.887316904046164,0.45316863940665525,0.0832522603833119,1.2185629112566918,0.13226666875335163,2.3079600194297383,0.23282635910666918
sem_read_operation_latency_EC,0.00587981617936356,0.39880469478899944,0.10108900019590784,0.011862402719658733,0.19027487652263744,0.02414450133935891,0.21564644203574,0.050344271942988045
mean_read_operation_latency_total,0.06665237852446404,5.342603815721748,0.621486061010005,0.09930031162054447,1.5721183520855904,0.16665220787446136,2.648859036688803,0.3102188162083015
median_read_operation_latency_total,0.06153261190498597,4.949359668023826,0.5443976186616737,0.0885512187716525,1.4316265082917035,0.14531637781000728,2.4631643048633607,0.26678140221663094
std_read_operation_latency_total,0.013147668672260016,0.8917544072942587,0.22604187621553945,0.026525138857635307,0.4254675583149961,0.053988746277641234,0.48220010349788267,0.11257321434225667
max_read_operation_latency_total,0.09559456512672114,7.333724000443323,1.099074593596676,0.15784838557337935,2.4950888030134046,0.28471748300671,3.715969037050003,0.5535977861033219
min_read_operation_latency_total,0.058421147776704554,4.887316904046164,0.45316863940665525,0.0832522603833119,1.2185629112566918,0.13226666875335163,2.3079600194297383,0.23282635910666918
sem_read_operation_latency_total,0.00587981617936356,0.39880469478899944,0.10108900019590784,0.011862402719658733,0.19027487652263744,0.02414450133935891,0.21564644203574,0.050344271942988045
mean_write_operation_latency_EC,0.04323443742503059,2.6469954974245464,0.2847772644794178,0.059921705954499076,0.5689413590044604,0.09165574301944364,1.3325031479034115,0.15157624155831348
median_write_operation_latency_EC,0.04418566134670679,2.784644302212012,0.31124153487828454,0.06383352685504178,0.6162738350966508,0.09903553335836174,1.4035849612216165,0.1649715096216126
std_write_operation_latency_EC,0.0038956139756768826,0.3306747569882072,0.06239430933665333,0.00836765390296795,0.133602200095607,0.016328981456316075,0.17234681134015062,0.0329168626400759
